"Name","State","Notes","User","Tags","Created","Runtime","Sweep","config","convnet_type","dataset","device","fixed_memory","increment","init_cls","memory_per_class","memory_size","model_name","prefix","pretrained","run_name","seed","shuffle","data_augmentation","dropout","baseline","args/baseline","args/convnet_type","args/data_augmentation","args/dataset","args/dropout","args/increment","args/init_cls","args/model_name","args/prefix","args/pretrained","args/run_name","args/seed","args/shuffle","batch_size","gamma","lr","args/batch_size","args/checkpoint_path","args/max_epoch","args/patience","args/validation_fraction","onlytop","grid_search_ids","adam","args/early_stopping_delta","args/n_tasks","weight_align","checkpoint_path","early_stopping_delta","max_epoch","min_delta","n_tasks","patience","sparsity_lambda","weight_aligning","CIL/top1_acc","CIL/top5_acc","epoch","metrics/top1_acc","metrics/top5_acc","task0-test/acc","task0-train/acc","task0/test_acc","task0/train_acc","task1-test/acc","task1-train/acc","task1/test_acc","task1/train_acc","task2/test_acc","task2/train_acc","task3/test_acc","task3/train_acc","task4/test_acc","task4/train_acc","task5/test_acc","task5/train_acc","task6/test_acc","task6/train_acc","task7/test_acc","task7/train_acc","task_0/test_acc","task_0/train_acc","task_1/test_acc","task_1/train_acc","task_2/test_acc","task_2/train_acc","task_3/test_acc","task_3/train_acc","top1-acc","top5-acc","task","task0/val_acc","test_acc","test_loss","train_acc","train_loss","trainer/global_step","val_acc","val_loss","task1/val_acc","task2/val_acc","task3/val_acc","task4/val_acc","task5/val_acc","task6/val_acc","task7/val_acc","task8/train_acc","task8/val_acc","CIL/n_parameters","task0/val_clf_loss","task0/val_loss","task0/val_sparsity_loss","task1/val_clf_loss","task1/val_loss","task1/val_sparsity_loss","task2/val_clf_loss","task2/val_loss","task2/val_sparsity_loss","task3/val_clf_loss","task3/val_loss","task3/val_sparsity_loss","task4/val_clf_loss","task4/val_loss","task4/val_sparsity_loss","task5/val_clf_loss","task5/val_loss","task5/val_sparsity_loss","task6/val_clf_loss","task6/val_loss","task6/val_sparsity_loss","task7/val_clf_loss","task7/val_loss","task7/val_sparsity_loss","task8/val_clf_loss","task8/val_loss","task8/val_sparsity_loss","CIL/memory_size","task9/train_acc","task9/val_acc"
"BASELINE-der-from_scratch-100_classes-drop0.1","finished","-","gianlucagiudice","adam, baseline, baseline-der, onlytop","2022-05-10T15:04:20.000Z","3093","","","","","","","","","","","","","","","","","","","","true","resnet34","true","LogoDet-3K_cropped","0.1","10","30","der","reproduce","true","BASELINE-der-from_scratch-100_classes-drop0.1","830694","true","512","","0.001","512","model_checkpoint","150","40","","","","","0","7","","","","","","","","","","98.52941131591795","","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.9852941036224364","0.10689198225736618","1","0.00021976442076265812","900","0.9823529124259948","0.04134859889745712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE-der-from_scratch-100_classes-drop0.3","finished","-","gianlucagiudice","adam, baseline, baseline-der, onlytop","2022-05-10T15:56:06.000Z","4098","","","","","","","","","","","","","","","","","","","","true","resnet34","true","LogoDet-3K_cropped","0.3","10","30","der","reproduce","true","BASELINE-der-from_scratch-100_classes-drop0.3","830694","true","512","","0.001","512","model_checkpoint","150","40","","","","","0","7","","","","","","","","","","97.05882263183594","","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.970588207244873","0.18183693289756775","1","0.0003820349520538002","1210","0.9764705896377563","0.13765592873096466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE-der-from_scratch-100_classes-drop0.5","finished","-","gianlucagiudice","adam, baseline, baseline-der, onlytop","2022-05-10T18:09:04.000Z","4012","","","","","","","","","","","","","","","","","","","","true","resnet34","true","LogoDet-3K_cropped","0.5","10","30","der","reproduce","true","BASELINE-der-from_scratch-100_classes-drop0.5","830694","true","512","","0.001","512","model_checkpoint","150","40","","","","","0","7","","","","","","","","","","97.64705657958984","","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.9764705896377563","0.1345900446176529","1","0.0006830742349848151","1210","0.9764705896377563","0.07265931367874146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE-der-from_scratch-2993_classes-drop0.1","finished","-","gianlucagiudice","baseline, baseline-der, onlytop","2022-06-04T14:34:17.000Z","89219","","","resnet34","LogoDet-3K_cropped","","","250","1000","","","der","reproduce","true","BASELINE-{}-from_scratch-{}_classes-drop{}","830694","true","true","0.1","true","true","resnet34","true","LogoDet-3K_cropped","0.1","250","1000","der","reproduce","true","BASELINE-{}-from_scratch-{}_classes-drop{}","830694","true","256","","0.001","256","model_checkpoint","150","30","","","","","0","8","","model_checkpoint","0","150","","8","30","","","88.48484802246094","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.8848484754562378","0.8301197290420532","0.9951691031455994","0.010356035083532332","45666","0.8989899158477783","0.8964728116989136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE-resnet152-from_scratch-100_classes-drop0.1-onlytop","finished","-","gianlucagiudice","adam, baseline, baseline-resnet, onlytop","2022-05-04T20:02:00.000Z","6110","","","","","","","","","","","","","","","","","","","","true","None","true","LogoDet-3K_cropped","0.1","10","100","der","reproduce","None","BASELINE-FAIR_resnet152-from_scratch-100_classes-drop0.1","830694","true","64","","0.001","64","model_checkpoint","150","40","","","","","","","","","","","","","","","","82.35294342041016","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.8235294222831726","0.4012187719345093","1","0.00439083157107234","12366","0.9743589758872986","0.08189129829406738","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE-resnet152-from_scratch-100_classes-drop0.3-onlytop","finished","-","gianlucagiudice","adam, baseline, baseline-resnet, onlytop","2022-05-04T15:25:33.000Z","5103","","","","","","","","","","","","","","","","","","","","true","None","true","LogoDet-3K_cropped","0.3","10","100","der","reproduce","None","BASELINE-FAIR_resnet152-from_scratch-100_classes-drop0.3","830694","true","64","","0.001","64","model_checkpoint","150","40","","","","","","","","","","","","","","","","94.11764526367188","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.9411764740943908","0.14998739957809448","1","0.03798538446426392","10305","0.8974359035491943","0.20484204590320587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE-resnet152-from_scratch-100_classes-drop0.5-onlytop","finished","-","gianlucagiudice","adam, baseline, baseline-resnet, onlytop","2022-05-04T13:40:45.000Z","6267","","","","","","","","","","","","","","","","","","","","true","None","true","LogoDet-3K_cropped","0.5","10","100","der","reproduce","None","BASELINE-FAIR_resnet152-from_scratch-100_classes-drop0.5","830694","true","64","","0.001","64","model_checkpoint","150","40","","","","","","","","","","","","","","","","88.23529815673828","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.8823529481887817","0.3506392538547516","1","0.021915581077337265","10305","0.9230769276618958","0.22227366268634796","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE_resnet34-nopretrained-drop0.1-augmented","finished","-","gianlucagiudice","baseline, no-onlytop, unfair-baseline","2022-04-17T06:09:01.000Z","6287","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","100","1000","2000","der","reproduce","false","exp_grid-search_BASELINE_3_arch=resnet34_pretrained=False_dropout=0.1","830694","true","true","0.1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.41","96.14","144","","","","","62.37","73.61","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE_resnet34-nopretrained-drop0.3-augmented","finished","-","gianlucagiudice","baseline, no-onlytop, unfair-baseline","2022-04-17T07:53:54.000Z","3987","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","100","1000","2000","der","reproduce","false","exp_grid-search_BASELINE_4_arch=resnet34_pretrained=False_dropout=0.3","830694","true","true","0.3","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.85","95.55","128","","","","","62.87","72.25","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE_resnet34-nopretrained-drop0.5-augmented","finished","-","gianlucagiudice","baseline, no-onlytop, unfair-baseline","2022-04-17T09:00:26.000Z","6116","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","100","1000","2000","der","reproduce","false","exp_grid-search_BASELINE_5_arch=resnet34_pretrained=False_dropout=0.5","830694","true","true","0.5","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.49","92.85","199","","","","","60.15","65.01","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE_resnet34-pretrained-drop0.1-augmented","finished","-","gianlucagiudice","baseline, no-onlytop, unfair-baseline","2022-04-16T22:38:04.000Z","8742","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","100","1000","2000","der","reproduce","true","exp_grid-search_BASELINE_0_arch=resnet34_pretrained=True_dropout=0.1","830694","true","true","0.1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.04","96.26","173","","","","","62.56","72.4","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE_resnet34-pretrained-drop0.3-augmented","finished","-","gianlucagiudice","baseline, no-onlytop, unfair-baseline","2022-04-17T01:03:52.000Z","8728","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","100","1000","2000","der","reproduce","true","exp_grid-search_BASELINE_1_arch=resnet34_pretrained=True_dropout=0.3","830694","true","true","0.3","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.15","94.82","174","","","","","60.82","68.78","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE_resnet34-pretrained-drop0.5-augmented","finished","-","gianlucagiudice","baseline, no-onlytop, unfair-baseline","2022-04-17T03:29:25.000Z","9570","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","100","1000","2000","der","reproduce","true","exp_grid-search_BASELINE_2_arch=resnet34_pretrained=True_dropout=0.5","830694","true","true","0.5","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.14","90.78","191","","","","","56.91","61.46","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIL_1000_250_2993-noWA-mem50-resnet34-pretrained-drop0.5-augmented-adam","finished","-","gianlucagiudice","adam, cil","2022-06-08T13:47:45.000Z","104150","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","250","1000","50","2000","der","reproduce","true","exp_grid-search6_arch=resnet34_pretrained=True_dropout=0.5","830694","true","true","0.5","false","","","","","","","","","","","","","","","","","","","","","","false","","true","","","false","","","","0.5","","","0","","79.62","86.81","40","","","","","","99.36","","","","94.84","","92.21","","86.59","","87.03","","81.59","","80.47","","82.34","","","","","","","","","","","8","91.55","","","","","","","","88.46","87.5","84.99","85.09","83.15","82.31","83.22","75.95","80.18","205.48","0.7947700619697571","0.7947700619697571","0","24.0687313079834","24.0687313079834","0","12.91990089416504","12.91990089416504","0","29.50880241394043","29.50880241394043","0","33.659854888916016","33.659854888916016","0","23.12114715576172","23.12114715576172","0","32.268333435058594","32.268333435058594","0","30.305131912231445","30.305131912231445","0","52.70441818237305","52.70441818237305","0","101519","",""
"CIL_1000_250_2993-noWA-mem50-resnet34-pretrained-drop0.5-augmented-adam","finished","-","gianlucagiudice","adam, cil","2022-06-15T04:47:59.000Z","113953","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","250","1000","50","2000","der","reproduce","true","exp_grid-search6_arch=resnet34_pretrained=True_dropout=0.5","830694","true","true","0.5","false","","","","","","","","","","","","","","","","","","","","","","false","","true","","","false","","","","0.5","","","0","","89.57","92.88","99","","","","","","99.44","","","","99.47","","99.58","","99.55","","99.56","","99.57","","99.4","","99.45","","","","","","","","","","","8","91.06","","","","","","","","90.5","90.49","90.55","90.36","90.53","90.16","90.1","99.45","89.99","205.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","101519","",""
"CIL_1000_250_2993-WA-mem10-resnet34-pretrained-drop0.5-augmented-adam","crashed","-","gianlucagiudice","adam, cil","2022-06-02T00:06:56.000Z","1018791","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","250","1000","10","2000","der","reproduce","true","exp_grid-search1_arch=resnet34_pretrained=True_dropout=0.5","830694","true","true","0.5","false","","","","","","","","","","","","","","","","","","","","","","false","","true","","","true","","","","0.5","","","","","87.2","92.19","92","","","","","","99.44","","","","99.68","","99.81","","99.72","","99.77","","99.78","","99.68","","99.64","","","","","","","","","","","8","91.06","","","","","","","","89.02","88.77","87.98","87.25","86.91","86.39","86.14","99.75","85.8","205.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","28631","",""
"CIL_1000_250_2993-WA-mem20-resnet34-pretrained-drop0.5-augmented-adam","finished","-","gianlucagiudice","adam, cil","2022-06-14T08:19:40.000Z","73574","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","250","1000","20","2000","der","reproduce","true","exp_grid-search3_arch=resnet34_pretrained=True_dropout=0.5","830694","true","true","0.5","false","","","","","","","","","","","","","","","","","","","","","","false","","true","","","true","","","","0.5","","","0","","88.47","92.58","81","","","","","","99.44","","","","99.52","","99.62","","99.56","","99.65","","99.66","","99.56","","99.5","","","","","","","","","","","8","91.06","","","","","","","","89.98","89.59","89.43","89.2","89.22","88.72","88.72","99.6","88.48","205.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","52929","",""
"CIL_1000_250_2993-WA-mem50-resnet34-pretrained-drop0.5-augmented-adam","finished","-","gianlucagiudice","adam, cil","2022-06-12T00:42:19.000Z","104436","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","250","1000","50","2000","der","reproduce","true","exp_grid-search5_arch=resnet34_pretrained=True_dropout=0.5","830694","true","true","0.5","false","","","","","","","","","","","","","","","","","","","","","","false","","true","","","true","","","","0.5","","","0","","89.22","92.97","77","","","","","","99.44","","","","99.47","","99.55","","99.43","","99.5","","99.52","","99.39","","99.4","","","","","","","","","","","8","91.06","","","","","","","","90.5","90.71","90.34","90.15","90.29","90.02","90.04","99.44","89.94","205.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","101519","",""
"CIL_30_10_100-mem100-resnet34-adam-nopretrained-drop0.1-augmented-onlytop","finished","-","gianlucagiudice","adam, archived, cil, onlytop","2022-04-24T22:07:58.000Z","29778","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","30","1000","2000","der","reproduce","false","exp_grid-search4_arch=resnet34_pretrained=False_dropout=0.1","830694","true","true","0.1","false","","","","","","","","","","","","","","","","","","","","","","true","[1,4]","","","","","","","","","","","","","91.31","96.46","80","","","","","","98.03","","","","98.48","","99.07","","98.85","","99.58","","98.81","","99.45","","98.32","","","","","","","","","","","7","92.51","","","","","","","","92.76","93.76","93.4","93.38","92.29","92.52","92.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIL_30_10_100-mem100-resnet34-adam-nopretrained-drop0.3-augmented-onlytop","finished","-","gianlucagiudice","adam, archived, cil, onlytop","2022-04-24T21:32:33.000Z","30317","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","30","1000","2000","der","reproduce","false","exp_grid-search5_arch=resnet34_pretrained=False_dropout=0.3","830694","true","true","0.3","false","","","","","","","","","","","","","","","","","","","","","","true","[5]","","","","","","","","","","","","","91.84","96.77","109","","","","","","97.3","","","","97.34","","98.51","","98.68","","99.06","","98.52","","99.16","","98.28","","","","","","","","","","","7","91.68","","","","","","","","93.13","93.85","93.72","93.59","92.78","93.44","92.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIL_30_10_100-mem100-resnet34-adam-nopretrained-drop0.5-augmented-onlytop","finished","-","gianlucagiudice","adam, archived, cil, onlytop","2022-04-25T18:44:24.000Z","16779","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","30","1000","2000","der","reproduce","false","exp_grid-search6_arch=resnet34_pretrained=False_dropout=0.5","830694","true","true","0.5","false","","","","","","","","","","","","","","","","","","","","","","true","[6]","true","","","","","","","","","","","","91.72","96.5","89","","","","","","96.49","","","","97.11","","97.83","","98.62","","98.77","","98.27","","98.85","","97.66","","","","","","","","","","","7","92.68","","","","","","","","92.88","93.37","93.24","93.31","92.9","92.62","92.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIL_30_10_100-mem100-resnet34-adam-pretrained-drop0.1-augmented-onlytop","finished","-","gianlucagiudice","adam, archived, cil, onlytop","2022-04-24T14:49:33.000Z","26300","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","30","1000","2000","der","reproduce","true","exp_grid-search1_arch=resnet34_pretrained=True_dropout=0.1","830694","true","true","0.1","false","","","","","","","","","","","","","","","","","","","","","","true","[1,4]","","","","","","","","","","","","","93.15","97.63","84","","","","","","98.79","","","","99.86","","99.75","","99.65","","99.84","","99.11","","99.7","","98.67","","","","","","","","","","","7","94.84","","","","","","","","97.38","97.17","96.9","97.21","96.36","96.2","95.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIL_30_10_100-mem100-resnet34-adam-pretrained-drop0.1-augmented-onlytop","finished","-","gianlucagiudice","adam, cil, onlytop","2022-05-26T02:08:42.000Z","9987","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","30","100","2000","der","reproduce","true","exp_grid-search6_arch=resnet34_pretrained=True_dropout=0.1","830694","true","true","0.1","false","","","","","","","","","","","","","","","","","","","","","","true","[6]","true","","","true","","","","0.5","","","","","92.15","97.92","50","","","","","","99.9","","","","98.46","","98.9","","99.07","","99.14","","98.01","","98.91","","99","","","","","","","","","","","7","97.8","","","","","","","","93.95","95.02","95.67","95.73","94.15","94.63","94.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIL_30_10_100-mem100-resnet34-adam-pretrained-drop0.3-augmented-onlytop","finished","-","gianlucagiudice","adam, archived, cil, onlytop","2022-04-24T14:49:36.000Z","21238","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","30","1000","2000","der","reproduce","true","exp_grid-search2_arch=resnet34_pretrained=True_dropout=0.3","830694","true","true","0.3","false","","","","","","","","","","","","","","","","","","","","","","true","[2,5]","","","","","","","","","","","","","91.31","97.46","55","","","","","","98.84","","","","99.75","","99.72","","99.74","","99.87","","98.74","","99.52","","98.43","","","","","","","","","","","7","94.68","","","","","","","","96.88","96.39","96.41","96.66","95.45","95.55","94.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIL_30_10_100-mem100-resnet34-adam-pretrained-drop0.3-augmented-onlytop","finished","-","gianlucagiudice","adam, cil, onlytop","2022-05-25T23:30:50.000Z","9453","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","30","100","2000","der","reproduce","true","exp_grid-search4_arch=resnet34_pretrained=True_dropout=0.3","830694","true","true","0.3","false","","","","","","","","","","","","","","","","","","","","","","true","[4]","true","","","true","","","","0.5","","","","","91.55","97.75","40","","","","","","99.92","","","","98.32","","98.74","","98.98","","98.98","","97.55","","98.67","","98.71","","","","","","","","","","","7","97.8","","","","","","","","93.84","95.02","95.43","95.67","93.68","94","94.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIL_30_10_100-mem100-resnet34-adam-pretrained-drop0.5-augmented-onlytop","finished","-","gianlucagiudice","adam, cil, onlytop","2022-05-10T23:38:41.000Z","14961","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","30","100","2000","der","reproduce","true","exp_grid-search2_arch=resnet34_pretrained=True_dropout=0.5","830694","true","true","0.5","false","","","","","","","","","","","","","","","","","","","","","","true","","true","","","","","","","","","","","","95.04","98.4","87","","","","","","100","","","","99.11","","98.97","","99.11","","99.31","","98.34","","99.07","","99.07","","","","","","","","","","","7","97.95","","","","","","","","94.75","95.3","95.67","95.87","94.56","94.57","94.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIL_30_10_100-mem100-resnet34-SGD-nopretrained-drop0","finished","-","gianlucagiudice","archived, cil, no-validation","2022-04-16T17:51:10.000Z","10293","","exps/CIL_LogoDet-3k_nopretrained.json","resnet34","LogoDet-3K_cropped","","true","10","30","1000","2000","der","reproduce","false","exp02_docker-top-frequency-nopretrained","830694","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.97","87.02","38","","","","","80.09","95.2","","","77.18","97.26","68.49","92.64","66.88","92.09","63.79","91.49","60.13","91.56","56.55","90.02","55.61","89.52","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
